Model Name (LiveBench),Organization,Global Average,Reasoning Average,Coding Average,Mathematics Average,Data Analysis Average,Language Average,IF Average,Model Link (LiveBench),Arena Rank (No Style Control),Arena Rank (With Style Control),Model Name (Arena),Arena Score,95% Confidence Interval,# of Votes,Model License,Model Knowledge Cutoff,Model Link (Arena)
o3-2025-04-16-high,OpenAI,80.71,93.33,76.71,85.0,67.02,76.0,86.17,https://openai.com/index/introducing-o3-and-o4-mini/,3.0,1.0,o3-2025-04-16,1413.0,+8/-7,6689.0,Proprietary,Unknown,https://openai.com/index/introducing-o3-and-o4-mini/
o3-2025-04-16-medium,OpenAI,79.25,91.0,77.86,80.66,68.19,73.48,84.32,https://openai.com/index/introducing-o3-and-o4-mini/,,,,,,,,,
gemini-2.5-pro-preview-05-06,Google,78.99,88.25,72.87,88.63,68.85,71.81,83.5,https://developers.googleblog.com/en/gemini-2-5-pro-io-improved-coding-performance/,1.0,1.0,Gemini-2.5-Pro-Preview-05-06,1446.0,+8/-9,4500.0,Proprietary,Unknown,http://aistudio.google.com/app/prompts/new_chat?model=gemini-2.5-pro-preview-05-06
o4-mini-2025-04-16-high,OpenAI,78.72,88.11,79.98,84.9,68.33,66.05,84.96,https://openai.com/index/introducing-o3-and-o4-mini/,11.0,6.0,o4-mini-2025-04-16,1351.0,+10/-7,5083.0,Proprietary,Unknown,https://openai.com/index/introducing-o3-and-o4-mini/
gemini-2.5-pro-preview-03-25,Google,76.69,87.53,71.08,89.16,62.47,69.31,80.59,https://blog.google/technology/google-deepmind/gemini-model-thinking-updates-march-2025/,1.0,1.0,Gemini-2.5-Pro-Exp-03-25,1437.0,+6/-5,12812.0,Proprietary,Unknown,http://aistudio.google.com/app/prompts/new_chat?model=gemini-2.5-pro-exp-03-25
claude-3-7-sonnet-20250219-thinking-64k,Anthropic,74.5,76.17,73.19,79.0,69.11,68.27,81.25,https://www.anthropic.com/news/claude-3-7-sonnet,27.0,12.0,Claude 3.7 Sonnet (thinking-32k),1300.0,+5/-5,12038.0,Proprietary,Unknown,https://www.anthropic.com/news/claude-3-7-sonnet
o4-mini-2025-04-16-medium,OpenAI,74.4,78.47,74.22,81.02,68.47,62.41,81.83,https://openai.com/index/introducing-o3-and-o4-mini/,,,,,,,,,
qwen3-235b-a22b-thinking,Alibaba,73.23,78.61,65.32,78.78,68.31,60.61,87.73,https://qwenlm.github.io/blog/qwen3/,13.0,17.0,Qwen3-235B-A22B,1343.0,+11/-9,3611.0,Apache 2.0,Unknown,https://qwenlm.github.io/blog/qwen3/
deepseek-r1,DeepSeek,72.49,77.17,74.98,77.91,69.63,54.77,80.51,https://huggingface.co/deepseek-ai/DeepSeek-R1,11.0,9.0,DeepSeek-R1,1358.0,+4/-4,18493.0,MIT,Unknown,https://api-docs.deepseek.com/news/news250120
qwen3-32b-thinking,Alibaba,71.03,77.75,64.24,75.58,68.29,55.15,85.17,https://qwenlm.github.io/blog/qwen3/,,,,,,,,,
